31	25	1
30	24	1
34	25	1
34	24	1
35	25	0
31	24	1
28	21	1
32	22	0
34	24	0
33	22	1
28	21	0
31	21	0
34	23	0
32	23	1
29	23	1
31	23	1
30	23	1
28	23	1
31	24	1
30	23	1
31	23	1
31	24	1
32	24	0
32	23	1
28	22	1
32	23	1
32	24	1
32	22	1
30	22	1
31	23	1
31	22	1
32	24	1
34	24	0
34	23	1
34	25	0
34	24	1
33	24	0
34	25	1
34	24	1
34	23	0
34	25	1
34	26	1
34	25	1
34	25	1
36	26	1
36	25	1
30	22	1
31	22	0
29	21	1
26	20	1
25	19	1
27	20	1
35	24	1
35	25	0
35	24	1
34	23	1
34	20	0
35	21	0
25	22	1
30	21	1
30	20	1
31	21	0
33	23	1
32	23	1
32	23	1
32	23	1
32	23	0
28	22	1
25	21	1
27	21	1
28	20	1
30	21	0
31	20	0
32	22	0
31	21	0
27	22	1
27	20	1
26	20	1
24	18	1
30	22	1
31	21	0
30	20	1
27	20	1
32	24	1
34	24	0
34	24	0
33	23	1
33	23	1
32	23	1
30	23	1
28	22	1
26	22	1
28	22	1
27	22	1
28	20	0
31	20	0
31	22	0
28	23	1
26	21	1
25	22	0
29	22	0
33	22	0
30	22	1
26	19	1
23	19	1
30	20	0
29	20	0
30	20	1
25	19	1
26	19	0
28	20	0
28	22	1
27	21	1
29	21	1
31	24	1
33	23	0
33	25	0
33	24	0
33	24	1
31	24	1
27	21	1
28	22	0
31	21	0
31	23	1
31	23	1
33	23	0
33	23	0
34	24	0
34	25	0
34	24	0
35	24	0
35	24	0
34	25	0
33	24	0
33	24	0
33	24	0
35	24	0
35	24	1
32	24	1
31	24	1
31	24	1
31	22	1
28	22	0
31	21	0
30	20	1
30	23	1
32	23	0
32	24	0
33	24	0
32	24	1
31	23	1
32	24	0
33	24	0
35	25	0
34	24	0
35	25	0
34	25	1
35	25	1
34	24	1
34	24	0
35	24	0
32	25	1
31	25	1
29	22	1
29	22	1
31	22	1
24	20	1
30	21	1
29	23	1
29	22	0
30	22	0
30	22	0
31	22	0
31	22	1
25	21	1
25	20	1
27	21	0
30	22	0
27	21	1
24	19	1
30	20	0
33	22	0
33	23	0
34	23	0
34	25	0
33	24	0
32	24	0
32	24	0
33	25	1
34	24	1
33	24	1
33	23	1
33	25	1
35	25	1
33	24	1
34	24	1
27	22	1
30	22	0
30	21	0
31	21	0
32	20	0
31	21	0
32	21	0
33	23	0
32	22	0
34	23	0
34	24	0
